ID	Действие	Старый URL	Итоговый URL	Файл в репозитории	Canonical URL	Индексируемость	Статус публикации
1	KEEP	/	/	site_mirror/index.html	https://raskrutov.kz/	index, follow	Опубликована (sitemap)
2	KEEP	/web-studiya	/web-studiya	site_mirror/web-studiya/index.html	https://raskrutov.kz/web-studiya	index, follow	Опубликована (sitemap)
3	UPDATE	/sozdanie-saitov; /web-studiya/sozdanie-saitov	/sozdanie-saitov	site_mirror/sozdanie-saitov/index.html	https://raskrutov.kz/sozdanie-saitov	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
4	KEEP	/web-studiya/sozdanie-saitov/landing	/web-studiya/sozdanie-saitov/landing	site_mirror/web-studiya/sozdanie-saitov/landing/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/landing	index, follow	Опубликована (sitemap)
5	NEW	/web-studiya/sozdanie-saitov/mnogostranichnye-sayty	/web-studiya/sozdanie-saitov/mnogostranichnye-sayty	site_mirror/web-studiya/sozdanie-saitov/mnogostranichnye-sayty/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/mnogostranichnye-sayty	index, follow	Не опубликована
6	NEW	/web-studiya/sozdanie-saitov/korporativnyy-sayt	/web-studiya/sozdanie-saitov/korporativnyy-sayt	site_mirror/web-studiya/sozdanie-saitov/korporativnyy-sayt/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/korporativnyy-sayt	index, follow	Не опубликована
7	NEW	/web-studiya/sozdanie-saitov/internet-magazin	/web-studiya/sozdanie-saitov/internet-magazin	site_mirror/web-studiya/sozdanie-saitov/internet-magazin/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/internet-magazin	index, follow	Не опубликована
8	UPDATE	/sozdanie-onlain-shkol-i-kursov; /web-studiya/sozdanie-saitov/onlayn-shkola	/sozdanie-onlain-shkol-i-kursov	site_mirror/sozdanie-onlain-shkol-i-kursov/index.html	https://raskrutov.kz/sozdanie-onlain-shkol-i-kursov	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
9	NEW	/web-studiya/sozdanie-saitov/sayt-vizitka	/web-studiya/sozdanie-saitov/sayt-vizitka	site_mirror/web-studiya/sozdanie-saitov/sayt-vizitka/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/sayt-vizitka	index, follow	Не опубликована
10	NEW	/web-studiya/sozdanie-saitov/redizayn-sayta	/web-studiya/sozdanie-saitov/redizayn-sayta	site_mirror/web-studiya/sozdanie-saitov/redizayn-sayta/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/redizayn-sayta	index, follow	Не опубликована
11	NEW	/web-studiya/sozdanie-saitov/integratsii	/web-studiya/sozdanie-saitov/integratsii	site_mirror/web-studiya/sozdanie-saitov/integratsii/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/integratsii	index, follow	Не опубликована
12	UPDATE	/sozdanie-saitov-s-1c-integraciya	/sozdanie-saitov-s-1c-integraciya	site_mirror/sozdanie-saitov-s-1c-integraciya/index.html	https://raskrutov.kz/sozdanie-saitov-s-1c-integraciya	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
13	NEW	/web-studiya/sozdanie-saitov/onlayn-kalkulyatory	/web-studiya/sozdanie-saitov/onlayn-kalkulyatory	site_mirror/web-studiya/sozdanie-saitov/onlayn-kalkulyatory/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/onlayn-kalkulyatory	index, follow	Не опубликована
14	NEW	/web-studiya/sozdanie-saitov/ai-konsultanty	/web-studiya/sozdanie-saitov/ai-konsultanty	site_mirror/web-studiya/sozdanie-saitov/ai-konsultanty/index.html	https://raskrutov.kz/web-studiya/sozdanie-saitov/ai-konsultanty	index, follow	Не опубликована
15	UPDATE	/sozdanie-saitov-v-Petropavlovske	/sozdanie-saitov-v-Petropavlovske	site_mirror/sozdanie-saitov-v-Petropavlovske/index.html	https://raskrutov.kz/sozdanie-saitov-v-Petropavlovske	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
16	UPDATE	/sozdanie-saitov-v-astane	/sozdanie-saitov-v-astane	site_mirror/sozdanie-saitov-v-astane/index.html	https://raskrutov.kz/sozdanie-saitov-v-astane	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
17	UPDATE	/sozdanie-saitov-v-almaty	/sozdanie-saitov-v-almaty	site_mirror/sozdanie-saitov-v-almaty/index.html	https://raskrutov.kz/sozdanie-saitov-v-almaty	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
18	UPDATE	/sozdanie-saitov-v-shimkente	/sozdanie-saitov-v-shimkente	site_mirror/sozdanie-saitov-v-shimkente/index.html	https://raskrutov.kz/sozdanie-saitov-v-shimkente	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
19	UPDATE	/sozdanie-saitov-v-karagande	/sozdanie-saitov-v-karagande	site_mirror/sozdanie-saitov-v-karagande/index.html	https://raskrutov.kz/sozdanie-saitov-v-karagande	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
20	KEEP	/web-studiya/dizayn	/web-studiya/dizayn	site_mirror/web-studiya/dizayn/index.html	https://raskrutov.kz/web-studiya/dizayn	index, follow	Опубликована (sitemap)
